date	time	kind	ticker	name	qty	amount	balance	src
2025-07-04	11:19	event_in	TSLA	테슬라	0.000107			출석체크
2025-07-15	11:21	event_in	TSLA	테슬라	0.000116			출석체크
2025-07-28	11:20	event_in	TSLA	테슬라	0.000111			출석체크
2025-07-29	11:18	fx_in		달러로 환전		71.84	71.84	환전외화입금
2025-07-31	07:44	buy	QBTS	디웨이브퀀텀	0.037891	-0.70	71.14	
2025-07-31	07:44	buy	IONQ	아이온큐	0.016277	-0.70	70.44	
2025-08-01	07:08	buy	IONQ	아이온큐	0.034326	-1.42	69.02	
2025-08-01	07:08	buy	QBTS	디웨이브퀀텀	0.078377	-1.42	67.60	
2025-08-01	07:08	buy	TSLA	테슬라	0.002201	-0.70	66.90	
2025-08-01	11:19	event_in	TSLA	테슬라	0.000108			출석체크
2025-08-04	07:05	buy	IONQ	아이온큐	0.03483	-1.41	65.49	
2025-08-04	07:05	buy	QBTS	디웨이브퀀텀	0.080322	-1.41	64.08	
2025-08-04	07:05	buy	TSLA	테슬라	0.00222	-0.70	63.38	
2025-08-05	07:27	buy	IONQ	아이온큐	0.037095	-1.40	61.98	
2025-08-05	07:27	buy	QBTS	디웨이브퀀텀	0.086515	-1.40	60.58	
2025-08-06	07:05	buy	IONQ	아이온큐	0.035984	-1.42	59.16	
2025-08-06	07:05	buy	QBTS	디웨이브퀀텀	0.084922	-1.42	57.74	
2025-08-06	07:05	buy	TQQQ	TQQQ	0.008214	-0.70	57.04	
2025-08-07	07:14	buy	IONQ	아이온큐	0.034399	-1.41	55.63	
2025-08-07	07:14	buy	QBTS	디웨이브퀀텀	0.078	-1.41	54.22	
2025-08-07	07:14	buy	TQQQ	TQQQ	0.00803	-0.70	53.52	
2025-08-08	07:20	buy	IONQ	아이온큐	0.03431	-1.42	52.10	
2025-08-08	07:20	buy	QBTS	디웨이브퀀텀	0.081023	-1.42	50.68	
2025-08-08	07:20	buy	TQQQ	TQQQ	0.008226	-0.70	49.98	
2025-08-08	11:18	event_in	TSLA	테슬라	0.000111			출석체크
2025-08-11	07:20	buy	IONQ	아이온큐	0.036011	-1.42	48.56	
2025-08-11	07:20	buy	QBTS	디웨이브퀀텀	0.083441	-1.42	47.14	
2025-08-11	07:20	buy	TQQQ	TQQQ	0.007827	-0.70	46.44	
2025-08-11	07:20	buy	TSLL	TSLL	0.062198	-0.70	45.74	
2025-08-12	07:19	buy	IONQ	아이온큐	0.03425	-1.41	44.33	
2025-08-12	07:19	buy	QBTS	디웨이브퀀텀	0.084324	-1.41	42.92	
2025-08-12	07:19	buy	TQQQ	TQQQ	0.007791	-0.70	42.22	
2025-08-12	07:19	buy	TSLL	TSLL	0.058701	-0.70	41.52	
2025-08-13	07:27	buy	IONQ	아이온큐	0.033818	-1.41	40.11	
2025-08-13	07:27	buy	QBTS	디웨이브퀀텀	0.082563	-1.41	38.70	
2025-08-13	07:27	buy	BITX	BITX	0.0219	-1.41	37.29	
2025-08-13	07:27	buy	TSLL	TSLL	0.054406	-0.70	36.59	
2025-08-13	07:27	buy	TQQQ	TQQQ	0.007689	-0.70	35.89	
2025-08-14	07:11	buy	CVV	CVD 이큅먼트	1	-3.68	32.21	
2025-08-14	07:11	sell	TQQQ	TQQQ	0.047777	4.41	36.62	
2025-08-14	07:11	buy	IONQ	아이온큐	0.032787	-1.41	35.21	
2025-08-14	07:11	buy	QBTS	디웨이브퀀텀	0.082949	-1.41	33.80	
2025-08-14	07:11	buy	BRK-B	버크셔해서웨이B	0.015317	-7.12	26.68	
2025-08-14	07:11	buy	BITX	BITX	0.022486	-1.41	25.27	
2025-08-14	07:11	buy	TSLL	TSLL	0.054741	-0.70	24.57	
2025-08-14	07:11	buy	BRK-B	버크셔해서웨이B	0.01683	-7.85	16.72	
2025-08-15	07:28	sell	TSLL	TSLL	0.230046	2.99	19.71	
2025-08-15	07:28	sell	TSLA	테슬라	0.004974	1.69	21.40	
2025-08-15	07:28	buy	IONQ	아이온큐	0.033671	-1.42	19.98	
2025-08-15	07:28	buy	QBTS	디웨이브퀀텀	0.077769	-1.42	18.56	
2025-08-15	07:28	buy	BRK-B	버크셔해서웨이B	0.003018	-1.42	17.14	
2025-08-15	07:28	buy	CVV	CVD 이큅먼트	1	-3.16	13.98	
2025-08-15	07:28	sell	BITX	BITX	0.044386	2.95	16.93	
2025-08-18	07:31	buy	QBTS	디웨이브퀀텀	0.079054	-1.42	15.51	
2025-08-18	07:31	buy	IONQ	아이온큐	0.035732	-1.42	14.09	
2025-08-18	07:31	buy	BRK-B	버크셔해서웨이B	0.006015	-2.85	11.24	
2025-08-18	11:18	event_in	TSLA	테슬라	0.000116			출석체크
2025-08-18	13:24	fx_in		달러로 환전		7.23	18.47	환전외화입금
2025-08-19	07:19	buy	IONQ	아이온큐	0.035795	-1.41	17.06	
2025-08-19	07:19	buy	QBTS	디웨이브퀀텀	0.085399	-1.41	15.65	
2025-08-19	07:19	buy	BRK-B	버크셔해서웨이B	0.005947	-2.85	12.80	
2025-08-19	20:10	fx_in		달러로 환전		1.66	14.46	환전외화입금
2025-08-20	07:09	buy	IONQ	아이온큐	0.035965	-1.42	13.04	
2025-08-20	07:09	buy	QBTS	디웨이브퀀텀	0.086202	-1.42	11.62	
2025-08-20	07:09	buy	BRK-B	버크셔해서웨이B	0.005988	-2.85	8.77	
2025-08-20	09:25	fx_in		달러로 환전		71.61	80.38	환전외화입금
2025-08-21	07:28	buy	CVV	CVD 이큅먼트	1	-3.05	77.33	
2025-08-21	07:28	buy	IONQ	아이온큐	0.036022	-1.41	75.92	
2025-08-21	07:28	buy	QBTS	디웨이브퀀텀	0.087396	-1.41	74.51	
2025-08-21	07:28	buy	BRK-B	버크셔해서웨이B	0.005897	-2.84	71.67	
2025-08-26	10:58	fx_out		원화로 환전		-71.67	0.00	환전외화출금
2025-08-27	11:18	event_in	TSLA	테슬라	0.00011			출석체크
2025-09-02	11:24	event_in	TSLA	테슬라	0.000105			출석체크
2025-09-16	11:22	event_in	TSLA	테슬라	0.000102			출석체크
2025-09-17	07:13	sell	BRK-B	버크셔해서웨이B	0.059012	29.12	29.12	
2025-09-17	07:13	sell	IONQ	아이온큐	0.541272	30.92	60.04	
2025-09-17	07:13	sell	QBTS	디웨이브퀀텀	1.276147	22.64	82.68	
2025-09-17	07:13	sell	CVV	CVD 이큅먼트	3	9.18	91.86	
2025-09-23	11:26	event_in	TSLA	테슬라	0.00009			출석체크
2025-09-30	11:28	event_in	TSLA	테슬라	0.000084			출석체크
2025-10-15	11:09	fx_out		원화로 환전		-91.86	0.00	환전외화출금
2025-10-17	11:18	event_in	TSLA	테슬라	0.00008			출석체크
2025-10-20	11:37	event_in	TSLA	테슬라	0.000081			출석체크
2025-10-20	18:13	lending_fee		주식 빌려주기 이벤트		0.01	0.01	외화이벤트입금
2025-10-28	11:26	event_in	TSLA	테슬라	0.000084			출석체크
2025-12-31	10:08	deposit		NH INVESTMENT AND SE		495.89	495.90	외화입금
