Treatment,Variable,Model,Equation_LaTeX,p_value,R2
con,부숙도,Linear,$$y(x) = 4.371 - 0.004949x$$,0.78934543819042,0.009450313
con,부숙도,Quadratic,$$y(x) = 4.135 + 0.02038x - 0.000402x^{2}$$,0.90213099617525,0.028998531
con,부숙도,Cubic,$$y(x) = 3.472 + 0.1934x - 0.007641x^{2} + 7.661 \times 10^{-5}x^{3}$$,0.63500739390108,0.232500535
con,부숙도,Gompertz,$$y(x) = 4.431 \exp\{-\exp(-4.039 + 0.02839x)\}$$,0.95585483739077,0.012816932
con,부숙도,Sigmoid,$$y(x) = \frac{4.428}{1 + \exp\{0.03001(x - 136.3)\}}$$ ,0.95547920243052,0.012927789
con,NT누적,Linear,$$y(x) = -41.32 + 6.283x$$,6.05618e-07,0.961572829
con,NT누적,Quadratic,$$y(x) = -2.327 + 2.106x + 0.06631x^{2}$$,7.89643e-09,0.995158497
con,NT누적,Cubic,$$y(x) = -0.4146 + 1.606x + 0.08722x^{2} - 0.0002213x^{3}$$,2.3170995e-07,0.995265694
con,NT누적,Gompertz,$$y(x) = 888.4 \exp\{-\exp(1.52 - 0.02713x)\}$$,2.482486e-08,0.993284003
con,NT누적,Sigmoid,$$y(x) = \frac{534.5}{1 + \exp\{-0.06918(x - 49.1)\}}$$ ,1.5863132e-07,0.988590832
con,H2S누적,Linear,$$y(x) = 0.429 + 0.01957x$$,0.00071555581944,0.779288784
con,H2S누적,Quadratic,$$y(x) = 0.1459 + 0.04989x - 0.0004813x^{2}$$,0.0001042186703,0.927176734
con,H2S누적,Cubic,$$y(x) = 0.06827 + 0.07019x - 0.00133x^{2} + 8.986 \times 10^{-6}x^{3}$$,0.00041848404777,0.941950105
con,H2S누적,Gompertz,$$y(x) = 1.393 \exp\{-\exp(1.072 - 0.1158x)\}$$,1.425675641e-05,0.958748999
con,H2S누적,Sigmoid,$$y(x) = \frac{1.363}{1 + \exp\{-0.1888(x - 12.79)\}}$$ ,6.81308234e-06,0.966594924
con,ammonia누적,Linear,$$y(x) = -31.36 + 10.56x$$,2.93591e-09,0.989831014
con,ammonia누적,Quadratic,$$y(x) = -12.3 + 8.523x + 0.03241x^{2}$$,3.241491e-08,0.99275209
con,ammonia누적,Cubic,$$y(x) = 5.984 + 3.743x + 0.2323x^{2} - 0.002116x^{3}$$,1.0877709e-07,0.996321
con,ammonia누적,Gompertz,$$y(x) = 846.1 \exp\{-\exp(1.363 - 0.04105x)\}$$,3.67716e-09,0.996108235
con,ammonia누적,Sigmoid,$$y(x) = \frac{692.7}{1 + \exp\{-0.08088(x - 36.28)\}}$$ ,6.932018e-08,0.990994012
con,hydrate sulfade누적,Linear,$$y(x) = 1.837 + 9.626 \times 10^{-19}x$$,,
con,hydrate sulfade누적,Quadratic,$$y(x) = 1.837 + 4.134 \times 10^{-17}x - 8.122 \times 10^{-19}x^{2}$$,,
con,hydrate sulfade누적,Cubic,$$y(x) = 1.837 - 1.651 \times 10^{-17}x - 4.391 \times 10^{-19}x^{2} + 1.635 \times 10^{-20}x^{3}$$,,
con,hydrate sulfade누적,Gompertz,$$y(x) = 1.837 \exp\{-\exp(-19.72 - 0.005285x)\}$$,,
con,hydrate sulfade누적,Sigmoid,$$y(x) = \frac{3.673}{1 + \exp\{4.677 \times 10^{-17}(x - 9.717)\}}$$ ,,
con,odor누적,Linear,$$y(x) = 23.05 + 0.1869x$$,0.001235057328,0.748011047
con,odor누적,Quadratic,$$y(x) = 20.26 + 0.486x - 0.004748x^{2}$$,0.00032356720304,0.899342301
con,odor누적,Cubic,$$y(x) = 18.52 + 0.9401x - 0.02374x^{2} + 0.000201x^{3}$$,2.601254719e-05,0.977108964
con,odor누적,Gompertz,$$y(x) = 31.96 \exp\{-\exp(-0.5831 - 0.09789x)\}$$,5.88118386e-06,0.967969674
con,odor누적,Sigmoid,$$y(x) = \frac{31.81}{1 + \exp\{-0.1162(x - -2.695)\}}$$ ,9.86340787e-06,0.962870252
